cluster_id,size,unique_movie_count,movie_count_list,transitivity,avg_polarization,avg_leadership_insularity
344,1,1,1.0,0.0,,0.9596954833166679
345,1,1,1.0,0.0,,0.9592610889897744
346,1,1,1.0,0.0,,0.9599307577234459
347,1,1,1.0,0.0,,0.9602609704949941
348,1,1,1.0,0.0,,0.9588659086047463
349,1,1,1.0,0.0,,0.9583339600291466
350,1,1,1.0,0.0,,0.960378009960533
351,1,1,1.0,0.0,,0.9580355723488979
352,1,1,1.0,0.0,,0.9591607519028721
353,1,1,1.0,0.0,,0.9575978837579876
354,1,1,1.0,0.0,,0.9590125260157126
355,1,1,1.0,0.0,,0.9585660967534945
356,1,2,2.0,0.0,,0.9600876389113295
357,1,1,1.0,0.0,,0.9599201752349452
358,1,1,1.0,0.0,,0.9596232654018528
359,1,1,1.0,0.0,,0.95859937731554
360,1,1,1.0,0.0,,0.9587657563857526
361,1,1,1.0,0.0,,0.9582315601407974
362,1,1,1.0,0.0,,0.9588209584145833
363,1,1,1.0,0.0,,0.9588906698443374
364,1,1,1.0,0.0,,0.957590987572548
365,1,1,1.0,0.0,,0.958894035273469
366,1,1,1.0,0.0,,0.9583298605981243
367,1,1,1.0,0.0,,0.9579503953435952
368,1,1,1.0,0.0,,0.9597811272141193
369,1,1,1.0,0.0,,0.9579306080290131
370,1,1,1.0,0.0,,0.9599167205731345
371,1,1,1.0,0.0,,0.9597015620945903
372,1,1,1.0,0.0,,0.9596753479597496
373,1,1,1.0,0.0,,0.9590137900005367
374,1,1,1.0,0.0,,0.958737976625009
375,1,1,1.0,0.0,,0.9578726109688912
376,1,1,1.0,0.0,,0.9587461085121983
377,1,1,1.0,0.0,,0.9594423546168226
378,1,1,1.0,0.0,,0.9576438311544885
379,1,1,1.0,0.0,,0.9593038187821546
380,1,1,1.0,0.0,,0.9605616240292466
381,1,1,1.0,0.0,,0.9598783480311922
382,1,1,1.0,0.0,,0.9578184871218764
383,1,1,1.0,0.0,,0.9599423169635516
384,1,1,1.0,0.0,,0.9596784403348889
385,1,1,1.0,0.0,,0.9588659086047463
386,1,1,1.0,0.0,,0.959763419812643
387,1,1,1.0,0.0,,0.9593733409060229
388,1,1,1.0,0.0,,0.9598454233671501
389,1,1,1.0,0.0,,0.9599286327172123
390,1,1,1.0,0.0,,0.9591720351565833
391,1,1,1.0,0.0,,0.960122334541079
392,1,1,1.0,0.0,,0.959681571499191
393,1,1,1.0,0.0,,0.9596784403348889
394,1,1,1.0,0.0,,0.9597773063992749
395,1,1,1.0,0.0,,0.960351142077294
396,1,1,1.0,0.0,,0.9597675133818465
397,1,1,1.0,0.0,,0.9603051256129822
398,1,1,1.0,0.0,,0.959466871573409
399,1,1,1.0,0.0,,0.9594301946754753
400,1,1,1.0,0.0,,0.9577251502638477
401,1,1,1.0,0.0,,0.9600689970089236
402,1,1,1.0,0.0,,0.9597773063992749
403,1,1,1.0,0.0,,0.9585904816529819
404,1,1,1.0,0.0,,0.95767648213878
405,1,2,2.0,0.0,,0.9592081974687281
406,1,1,1.0,0.0,,0.9586277479301232
407,1,1,1.0,0.0,,0.9599201752349452
408,1,1,1.0,0.0,,0.9594427377687667
409,1,1,1.0,0.0,,0.9585484733184492
410,1,1,1.0,0.0,,0.9594853303457451
411,1,1,1.0,0.0,,0.9604855108359632
412,1,1,1.0,0.0,,0.9596438399744623
